Текущее время и дата: 26-12-2021 22:08:27, Log level: DEBUG, Идентификатор треда: LogThread-3, Статус лога в данный момент DEBUG
Текущее время и дата: 26-12-2021 22:08:28, Log level: ERROR, Идентификатор треда: LogThread-2, Статус лога в данный момент ERROR
Текущее время и дата: 26-12-2021 22:08:29, Log level: DEBUG, Идентификатор треда: LogThread-1, Статус лога в данный момент DEBUG
Текущее время и дата: 26-12-2021 22:08:30, Log level: ERROR, Идентификатор треда: LogThread-2, Статус лога в данный момент ERROR
Текущее время и дата: 26-12-2021 22:08:31, Log level: DEBUG, Идентификатор треда: LogThread-3, Статус лога в данный момент DEBUG
Текущее время и дата: 26-12-2021 22:08:32, Log level: ERROR, Идентификатор треда: LogThread-2, Статус лога в данный момент ERROR
Текущее время и дата: 26-12-2021 22:08:33, Log level: DEBUG, Идентификатор треда: LogThread-1, Статус лога в данный момент DEBUG
Текущее время и дата: 26-12-2021 22:08:34, Log level: ERROR, Идентификатор треда: LogThread-2, Статус лога в данный момент ERROR
Текущее время и дата: 26-12-2021 22:08:35, Log level: DEBUG, Идентификатор треда: LogThread-3, Статус лога в данный момент DEBUG
Текущее время и дата: 26-12-2021 22:08:36, Log level: DEBUG, Идентификатор треда: LogThread-1, Статус лога в данный момент DEBUG
Текущее время и дата: 26-12-2021 22:08:36, Log level: ERROR, Идентификатор треда: LogThread-2, Статус лога в данный момент ERROR
Текущее время и дата: 26-12-2021 22:08:38, Log level: ERROR, Идентификатор треда: LogThread-2, Статус лога в данный момент ERROR
Текущее время и дата: 26-12-2021 22:08:39, Log level: DEBUG, Идентификатор треда: LogThread-1, Статус лога в данный момент DEBUG
Текущее время и дата: 26-12-2021 22:08:39, Log level: DEBUG, Идентификатор треда: LogThread-3, Статус лога в данный момент DEBUG
Текущее время и дата: 26-12-2021 22:08:40, Log level: ERROR, Идентификатор треда: LogThread-2, Статус лога в данный момент ERROR
Текущее время и дата: 26-12-2021 22:08:42, Log level: DEBUG, Идентификатор треда: LogThread-1, Статус лога в данный момент DEBUG
Текущее время и дата: 26-12-2021 22:08:42, Log level: ERROR, Идентификатор треда: LogThread-2, Статус лога в данный момент ERROR
Текущее время и дата: 26-12-2021 22:08:43, Log level: DEBUG, Идентификатор треда: LogThread-3, Статус лога в данный момент DEBUG
Текущее время и дата: 26-12-2021 22:08:44, Log level: ERROR, Идентификатор треда: LogThread-2, Статус лога в данный момент ERROR
Текущее время и дата: 26-12-2021 22:08:45, Log level: DEBUG, Идентификатор треда: LogThread-1, Статус лога в данный момент DEBUG
